text,debts,funeral_expenses,bequests,wife,husband,son,daughter,father,mother,brother,sister,grandchild
"The estate is worth $151,525.22. There are debts of $34,945.94. Funeral expenses amount to $8,260.39. A bequest of $17,805.55 was specified. The survivors include 3 sons, 4 daughters, 2 sisters.",34945.94,8260.39,17805.55,0,0,3,4,0,0,0,2,0
"The estate is worth $768,564.65. There are debts of $122,970.64. Funeral expenses amount to $9,488.08. A bequest of $102,574.88 was specified. The survivors include a husband, 2 sons, 4 daughters, a father, 2 brothers, 1 sisters, 2 grandchildren.",122970.64,9488.08,102574.88,0,1,2,4,1,0,2,1,2
"The estate is worth $535,735.02. There are debts of $70,466.58. Funeral expenses amount to $5,103.47. A bequest of $127,138.96 was specified. The survivors include a husband, 2 sons, 5 daughters, a father, a mother, 1 brothers, 1 sisters, 2 grandchildren.",70466.58,5103.47,127138.96,0,1,2,5,1,1,1,1,2
"The estate is worth $322,198.27. There are debts of $10,449.12. Funeral expenses amount to $8,717.72. A bequest of $18,789.14 was specified. The survivors include a wife, 4 sons, 2 daughters, 2 grandchildren.",10449.12,8717.72,18789.14,1,0,4,2,0,0,0,0,2
"The estate is worth $574,841.74. There are debts of $53,560.19. Funeral expenses amount to $7,203.98. A bequest of $72,518.79 was specified. The survivors include a husband, 3 sons, 2 daughters, 2 sisters, 1 grandchildren.",53560.19,7203.98,72518.79,0,1,3,2,0,0,0,2,1
"The estate is worth $991,443.97. There are debts of $71,793.76. Funeral expenses amount to $4,393.65. A bequest of $181,550.25 was specified. The survivors include a wife, a husband, 3 sons, 5 daughters, 3 brothers, 1 sisters, 1 grandchildren.",71793.76,4393.65,181550.25,1,1,3,5,0,0,3,1,1
"The estate is worth $306,249.89. There are debts of $12,523.87. Funeral expenses amount to $6,120.58. A bequest of $41,366.98 was specified. The survivors include 4 sons, 2 daughters, a father, 2 brothers, 2 sisters, 2 grandchildren.",12523.87,6120.58,41366.98,0,0,4,2,1,0,2,2,2
"The estate is worth $474,283.73. There are debts of $101,022.07. Funeral expenses amount to $3,125.12. A bequest of $100,773.39 was specified. The survivors include a wife, a husband, 5 sons, 1 daughters, 2 sisters, 2 grandchildren.",101022.07,3125.12,100773.39,1,1,5,1,0,0,0,2,2
"The estate is worth $167,830.99. There are debts of $3,704.23. Funeral expenses amount to $9,826.61. A bequest of $548.72 was specified. The survivors include a wife, a husband, 1 daughters, 3 brothers, 1 sisters.",3704.23,9826.61,548.72,1,1,0,1,0,0,3,1,0
"The estate is worth $376,642.96. There are debts of $48,362.34. Funeral expenses amount to $3,216.63. A bequest of $22,141.62 was specified. The survivors include a wife, a husband, 1 sons, 4 daughters, a father, a mother, 3 sisters, 1 grandchildren.",48362.34,3216.63,22141.62,1,1,1,4,1,1,0,3,1
"The estate is worth $163,592.89. There are debts of $13,368.20. Funeral expenses amount to $7,761.87. A bequest of $2,457.37 was specified. The survivors include a wife, 1 sons, 5 daughters, a father, a mother, 2 brothers, 3 sisters.",13368.2,7761.87,2457.37,1,0,1,5,1,1,2,3,0
"The estate is worth $799,690.31. There are debts of $71,371.30. Funeral expenses amount to $8,154.13. A bequest of $18,653.72 was specified. The survivors include a wife, 1 daughters, a father, a mother, 3 sisters, 1 grandchildren.",71371.3,8154.13,18653.72,1,0,0,1,1,1,0,3,1
"The estate is worth $756,568.74. There are debts of $171,903.70. Funeral expenses amount to $7,209.88. A bequest of $98,621.78 was specified. The survivors include a husband, 4 sons, 5 daughters, 1 brothers, 2 sisters, 1 grandchildren.",171903.7,7209.88,98621.78,0,1,4,5,0,0,1,2,1
"The estate is worth $720,358.48. There are debts of $15,658.55. Funeral expenses amount to $1,708.06. A bequest of $167,400.66 was specified. The survivors include a wife, a husband, 5 sons, 2 daughters, a mother, 1 brothers, 1 sisters.",15658.55,1708.06,167400.66,1,1,5,2,0,1,1,1,0
"The estate is worth $207,875.18. There are debts of $2,150.68. Funeral expenses amount to $1,336.51. A bequest of $1,400.84 was specified. The survivors include a husband, 2 daughters, a mother, 3 sisters.",2150.68,1336.51,1400.84,0,1,0,2,0,1,0,3,0
"The estate is worth $339,816.96. There are debts of $4,348.04. Funeral expenses amount to $7,948.87. A bequest of $9,367.95 was specified. The survivors include a wife, a husband, 2 sons, 1 daughters, a father, a mother, 1 brothers, 1 sisters.",4348.04,7948.87,9367.95,1,1,2,1,1,1,1,1,0
"The estate is worth $747,209.62. There are debts of $23,595.09. Funeral expenses amount to $2,212.15. A bequest of $169,832.39 was specified. The survivors include a wife, 2 sons, a father, 2 brothers, 1 sisters, 1 grandchildren.",23595.09,2212.15,169832.39,1,0,2,0,1,0,2,1,1
"The estate is worth $520,367.63. There are debts of $50,578.53. Funeral expenses amount to $3,316.90. A bequest of $14,309.77 was specified. The survivors include a father, 1 brothers, 3 sisters, 1 grandchildren.",50578.53,3316.9,14309.77,0,0,0,0,1,0,1,3,1
"The estate is worth $932,320.14. There are debts of $34,739.12. Funeral expenses amount to $9,994.24. A bequest of $232,721.38 was specified. The survivors include a husband, 4 sons, a father, 1 grandchildren.",34739.12,9994.24,232721.38,0,1,4,0,1,0,0,0,1
"The estate is worth $233,413.90. There are debts of $18,605.72. Funeral expenses amount to $4,801.05. A bequest of $66,738.44 was specified. The survivors include a wife, 3 sons, a father, 1 brothers, 2 sisters.",18605.72,4801.05,66738.44,1,0,3,0,1,0,1,2,0
"The estate is worth $427,380.10. There are debts of $103,277.09. Funeral expenses amount to $6,497.16. A bequest of $48,607.30 was specified. The survivors include a wife, 4 sons, 1 daughters, 1 brothers, 2 grandchildren.",103277.09,6497.16,48607.3,1,0,4,1,0,0,1,0,2
"The estate is worth $340,975.68. There are debts of $14,577.30. Funeral expenses amount to $3,984.26. A bequest of $17,079.95 was specified. The survivors include a father, a mother, 2 brothers, 1 sisters, 2 grandchildren.",14577.3,3984.26,17079.95,0,0,0,0,1,1,2,1,2
"The estate is worth $335,361.93. There are debts of $2,384.03. Funeral expenses amount to $8,552.16. A bequest of $79,196.91 was specified. The survivors include a wife, 2 sons, 4 daughters, 2 brothers, 1 grandchildren.",2384.03,8552.16,79196.91,1,0,2,4,0,0,2,0,1
"The estate is worth $72,741.25. There are debts of $8,999.11. Funeral expenses amount to $1,752.51. A bequest of $14,839.13 was specified. The survivors include a husband, 1 sons, 1 daughters, a mother, 3 brothers, 3 sisters, 1 grandchildren.",8999.11,1752.51,14839.13,0,1,1,1,0,1,3,3,1
"The estate is worth $190,455.23. There are debts of $37,842.95. Funeral expenses amount to $5,830.20. A bequest of $7,672.22 was specified. The survivors include a wife, 5 sons, 5 daughters, a father, a mother, 3 brothers, 1 grandchildren.",37842.95,5830.2,7672.22,1,0,5,5,1,1,3,0,1
"The estate is worth $854,270.62. There are debts of $147,035.64. Funeral expenses amount to $6,155.07. A bequest of $54,854.69 was specified. The survivors include a husband, 3 sons, 4 daughters, a mother, 1 brothers.",147035.64,6155.07,54854.69,0,1,3,4,0,1,1,0,0
"The estate is worth $757,661.31. There are debts of $4,452.19. Funeral expenses amount to $5,666.43. A bequest of $223,378.46 was specified. The survivors include a wife, 4 sons, 5 daughters, 2 brothers, 1 sisters.",4452.19,5666.43,223378.46,1,0,4,5,0,0,2,1,0
"The estate is worth $75,367.80. There are debts of $8,789.48. Funeral expenses amount to $4,582.96. A bequest of $4,857.22 was specified. The survivors include a wife, a husband, 4 sons, 5 daughters, a mother, 3 brothers, 1 sisters, 1 grandchildren.",8789.48,4582.96,4857.22,1,1,4,5,0,1,3,1,1
"The estate is worth $668,066.12. There are debts of $64,491.74. Funeral expenses amount to $4,442.63. A bequest of $151,919.25 was specified. The survivors include a wife, a husband, 5 sons, 3 daughters, a mother, 3 sisters.",64491.74,4442.63,151919.25,1,1,5,3,0,1,0,3,0
"The estate is worth $215,828.81. There are debts of $46,743.70. Funeral expenses amount to $9,918.53. A bequest of $13,587.90 was specified. The survivors include a wife, a husband, 5 daughters, a father, a mother, 2 sisters, 1 grandchildren.",46743.7,9918.53,13587.9,1,1,0,5,1,1,0,2,1
"The estate is worth $396,018.26. There are debts of $25,442.88. Funeral expenses amount to $5,931.22. A bequest of $71,617.20 was specified. The survivors include a wife, a husband, 4 sons, 2 daughters, a father, 1 brothers, 2 sisters, 2 grandchildren.",25442.88,5931.22,71617.2,1,1,4,2,1,0,1,2,2
"The estate is worth $602,929.19. There are debts of $120,248.79. Funeral expenses amount to $2,251.46. A bequest of $3,708.27 was specified. The survivors include 1 sons, 4 daughters, 2 brothers, 3 sisters, 1 grandchildren.",120248.79,2251.46,3708.27,0,0,1,4,0,0,2,3,1
"The estate is worth $534,639.52. There are debts of $74,948.15. Funeral expenses amount to $2,219.01. A bequest of $106,848.26 was specified. The survivors include 2 sons, a father, 3 brothers, 2 sisters.",74948.15,2219.01,106848.26,0,0,2,0,1,0,3,2,0
"The estate is worth $514,763.49. There are debts of $42,091.74. Funeral expenses amount to $8,301.01. A bequest of $112,657.72 was specified. The survivors include 5 sons, 4 daughters, a father, 2 grandchildren.",42091.74,8301.01,112657.72,0,0,5,4,1,0,0,0,2
"The estate is worth $650,616.74. There are debts of $97,028.05. Funeral expenses amount to $1,269.25. A bequest of $14,236.64 was specified. The survivors include a wife, 1 sons, 3 sisters, 1 grandchildren.",97028.05,1269.25,14236.64,1,0,1,0,0,0,0,3,1
"The estate is worth $931,335.19. There are debts of $5,394.30. Funeral expenses amount to $1,864.62. A bequest of $67,187.32 was specified. The survivors include 2 sons, 1 daughters, a mother, 1 brothers, 2 sisters, 1 grandchildren.",5394.3,1864.62,67187.32,0,0,2,1,0,1,1,2,1
"The estate is worth $154,752.41. There are debts of $36,749.28. Funeral expenses amount to $9,012.29. A bequest of $32,227.07 was specified. The survivors include 3 sons, 4 daughters, 2 brothers, 3 sisters, 2 grandchildren.",36749.28,9012.29,32227.07,0,0,3,4,0,0,2,3,2
"The estate is worth $925,861.88. There are debts of $224,061.48. Funeral expenses amount to $5,363.66. A bequest of $14,539.60 was specified. The survivors include a wife, 5 sons, 5 daughters, a father, a mother, 3 brothers, 1 sisters, 2 grandchildren.",224061.48,5363.66,14539.6,1,0,5,5,1,1,3,1,2
"The estate is worth $962,798.58. There are debts of $74,050.78. Funeral expenses amount to $9,077.41. A bequest of $28,531.53 was specified. The survivors include a husband, 1 sons, 3 daughters, a father, 1 brothers, 3 sisters.",74050.78,9077.41,28531.53,0,1,1,3,1,0,1,3,0
"The estate is worth $404,121.46. There are debts of $3,170.89. Funeral expenses amount to $1,114.78. A bequest of $131,428.32 was specified. The survivors include a wife, 3 sons, 2 daughters, a mother, 3 brothers, 1 grandchildren.",3170.89,1114.78,131428.32,1,0,3,2,0,1,3,0,1
"The estate is worth $755,923.23. There are debts of $165,286.16. Funeral expenses amount to $1,544.26. A bequest of $168,064.49 was specified. The survivors include 3 sons, 5 daughters, a mother, 2 grandchildren.",165286.16,1544.26,168064.49,0,0,3,5,0,1,0,0,2
"The estate is worth $483,977.62. There are debts of $104,012.12. Funeral expenses amount to $4,695.76. A bequest of $94,095.18 was specified. The survivors include a wife, 4 sons, 1 daughters, a father, 1 brothers, 1 grandchildren.",104012.12,4695.76,94095.18,1,0,4,1,1,0,1,0,1
"The estate is worth $125,219.48. There are debts of $22,785.45. Funeral expenses amount to $4,888.05. A bequest of $4,369.88 was specified. The survivors include a wife, a husband, 2 sons, 2 brothers, 3 sisters, 2 grandchildren.",22785.45,4888.05,4369.88,1,1,2,0,0,0,2,3,2
"The estate is worth $73,052.63. There are debts of $12,425.11. Funeral expenses amount to $1,822.32. A bequest of $15,231.87 was specified. The survivors include a wife, 5 sons, 1 daughters, a father, a mother, 2 brothers, 2 sisters, 1 grandchildren.",12425.11,1822.32,15231.87,1,0,5,1,1,1,2,2,1
"The estate is worth $429,857.57. There are debts of $70,468.24. Funeral expenses amount to $2,133.76. A bequest of $84,178.26 was specified. The survivors include a wife, a husband, 2 sons, 2 daughters, 3 brothers, 3 sisters.",70468.24,2133.76,84178.26,1,1,2,2,0,0,3,3,0
"The estate is worth $507,712.92. There are debts of $5,064.32. Funeral expenses amount to $4,035.96. A bequest of $163,116.68 was specified. The survivors include a wife, 3 sons, 1 daughters, a mother, 3 brothers, 1 sisters, 1 grandchildren.",5064.32,4035.96,163116.68,1,0,3,1,0,1,3,1,1
"The estate is worth $88,076.40. There are debts of $21,249.72. Funeral expenses amount to $1,612.25. A bequest of $397.77 was specified. The survivors include a wife, 2 sons, 2 daughters, 3 brothers, 3 sisters, 1 grandchildren.",21249.72,1612.25,397.77,1,0,2,2,0,0,3,3,1
"The estate is worth $76,813.18. There are debts of $7,011.29. Funeral expenses amount to $2,039.92. A bequest of $8,613.38 was specified. The survivors include a husband, 4 sons, 2 daughters, a mother, 3 sisters, 1 grandchildren.",7011.29,2039.92,8613.38,0,1,4,2,0,1,0,3,1
"The estate is worth $375,061.44. There are debts of $41,500.06. Funeral expenses amount to $7,045.11. A bequest of $42,825.69 was specified. The survivors include a husband, 3 sons, 1 daughters, a mother, 3 brothers, 3 sisters, 1 grandchildren.",41500.06,7045.11,42825.69,0,1,3,1,0,1,3,3,1
"The estate is worth $881,588.92. There are debts of $42,651.35. Funeral expenses amount to $3,500.72. A bequest of $246,763.95 was specified. The survivors include a wife, 3 sons, 5 daughters, a mother, 2 sisters, 1 grandchildren.",42651.35,3500.72,246763.95,1,0,3,5,0,1,0,2,1
"The estate is worth $914,435.24. There are debts of $184,600.81. Funeral expenses amount to $3,614.82. A bequest of $47,808.66 was specified. The survivors include a wife, 1 sons, 3 daughters, a mother, 1 brothers, 3 sisters, 2 grandchildren.",184600.81,3614.82,47808.66,1,0,1,3,0,1,1,3,2
"The estate is worth $912,499.07. There are debts of $29,280.78. Funeral expenses amount to $9,729.87. A bequest of $198,181.47 was specified. The survivors include 2 sons, 4 daughters, a mother, 3 brothers, 1 sisters.",29280.78,9729.87,198181.47,0,0,2,4,0,1,3,1,0
"The estate is worth $129,906.72. There are debts of $28,951.68. Funeral expenses amount to $2,984.07. A bequest of $28,079.82 was specified. The survivors include 1 sons, 2 daughters, 2 grandchildren.",28951.68,2984.07,28079.82,0,0,1,2,0,0,0,0,2
"The estate is worth $147,265.28. There are debts of $17,291.52. Funeral expenses amount to $7,528.06. A bequest of $4,034.11 was specified. The survivors include a wife, a husband, 1 sons, 3 daughters, 2 brothers, 3 sisters, 1 grandchildren.",17291.52,7528.06,4034.11,1,1,1,3,0,0,2,3,1
"The estate is worth $687,544.33. There are debts of $123,128.90. Funeral expenses amount to $1,889.10. A bequest of $30,213.87 was specified. The survivors include a wife, a husband, 1 sons, 4 daughters, a father, a mother, 2 sisters.",123128.9,1889.1,30213.87,1,1,1,4,1,1,0,2,0
"The estate is worth $542,225.10. There are debts of $40,032.18. Funeral expenses amount to $8,033.48. A bequest of $144,328.96 was specified. The survivors include 2 sons, 1 brothers, 2 sisters.",40032.18,8033.48,144328.96,0,0,2,0,0,0,1,2,0
"The estate is worth $913,726.78. There are debts of $202,627.69. Funeral expenses amount to $4,423.61. A bequest of $98,290.53 was specified. The survivors include 4 sons, a father, 3 sisters, 2 grandchildren.",202627.69,4423.61,98290.53,0,0,4,0,1,0,0,3,2
"The estate is worth $117,614.26. There are debts of $1,982.05. Funeral expenses amount to $7,250.06. A bequest of $20,342.99 was specified. The survivors include a wife, 2 sons, 3 daughters, a mother, 2 sisters, 1 grandchildren.",1982.05,7250.06,20342.99,1,0,2,3,0,1,0,2,1
"The estate is worth $210,662.07. There are debts of $32,740.34. Funeral expenses amount to $1,890.00. A bequest of $24,809.11 was specified. The survivors include a wife, 5 sons, 2 daughters, a father, a mother, 3 brothers, 1 sisters, 2 grandchildren.",32740.34,1890.0,24809.11,1,0,5,2,1,1,3,1,2
"The estate is worth $913,135.72. There are debts of $225,949.90. Funeral expenses amount to $8,527.06. A bequest of $168,283.01 was specified. The survivors include a husband, 4 sons, 2 daughters, 1 brothers, 1 sisters, 2 grandchildren.",225949.9,8527.06,168283.01,0,1,4,2,0,0,1,1,2
"The estate is worth $82,234.92. There are debts of $15,557.82. Funeral expenses amount to $1,567.14. A bequest of $9,939.31 was specified. The survivors include a wife, a husband, 4 sons, 2 daughters, a mother, 3 sisters, 2 grandchildren.",15557.82,1567.14,9939.31,1,1,4,2,0,1,0,3,2
"The estate is worth $766,292.82. There are debts of $159,709.10. Funeral expenses amount to $6,515.52. A bequest of $44,854.60 was specified. The survivors include a husband, 1 sons, 1 daughters, a father, a mother, 2 brothers, 2 grandchildren.",159709.1,6515.52,44854.6,0,1,1,1,1,1,2,0,2
"The estate is worth $625,106.01. There are debts of $84,405.91. Funeral expenses amount to $6,280.37. A bequest of $76,070.99 was specified. The survivors include a wife, 4 sons, 4 daughters, a mother, 2 sisters, 2 grandchildren.",84405.91,6280.37,76070.99,1,0,4,4,0,1,0,2,2
"The estate is worth $327,963.55. There are debts of $57,742.53. Funeral expenses amount to $8,595.02. A bequest of $35,060.52 was specified. The survivors include a wife, 3 sons, 5 daughters, a father, a mother, 2 brothers, 2 sisters, 1 grandchildren.",57742.53,8595.02,35060.52,1,0,3,5,1,1,2,2,1
"The estate is worth $247,559.57. There are debts of $18,225.05. Funeral expenses amount to $5,225.06. A bequest of $68,698.59 was specified. The survivors include a wife, a husband, 4 daughters, 1 brothers, 3 sisters.",18225.05,5225.06,68698.59,1,1,0,4,0,0,1,3,0
"The estate is worth $935,767.88. There are debts of $45,220.58. Funeral expenses amount to $6,812.93. A bequest of $200,442.97 was specified. The survivors include a husband, 4 sons, 3 daughters, a father, a mother, 3 brothers, 3 sisters.",45220.58,6812.93,200442.97,0,1,4,3,1,1,3,3,0
"The estate is worth $71,341.62. There are debts of $5,321.32. Funeral expenses amount to $5,828.00. A bequest of $964.94 was specified. The survivors include a wife, a husband, 1 daughters, a mother, 2 grandchildren.",5321.32,5828.0,964.94,1,1,0,1,0,1,0,0,2
"The estate is worth $994,084.22. There are debts of $1,359.18. Funeral expenses amount to $8,012.02. A bequest of $125,324.52 was specified. The survivors include 5 sons, a father, a mother, 1 brothers, 1 sisters, 1 grandchildren.",1359.18,8012.02,125324.52,0,0,5,0,1,1,1,1,1
"The estate is worth $293,118.07. There are debts of $4,796.10. Funeral expenses amount to $2,225.69. A bequest of $16,135.54 was specified. The survivors include a husband, 2 sons, 4 daughters, a father, 3 brothers, 2 sisters, 2 grandchildren.",4796.1,2225.69,16135.54,0,1,2,4,1,0,3,2,2
"The estate is worth $395,050.28. There are debts of $54,448.77. Funeral expenses amount to $6,077.19. A bequest of $84,651.18 was specified. The survivors include 1 sons, 2 daughters, 2 brothers, 2 grandchildren.",54448.77,6077.19,84651.18,0,0,1,2,0,0,2,0,2
"The estate is worth $285,335.67. There are debts of $64,058.67. Funeral expenses amount to $8,788.11. A bequest of $20,278.27 was specified. The survivors include a wife, a husband, 1 sons, 5 daughters, 2 brothers, 2 sisters, 1 grandchildren.",64058.67,8788.11,20278.27,1,1,1,5,0,0,2,2,1
"The estate is worth $666,215.15. There are debts of $76,977.85. Funeral expenses amount to $4,319.99. A bequest of $117,261.61 was specified. The survivors include a husband, 3 sons, 4 daughters, a father, a mother, 2 brothers, 3 sisters, 2 grandchildren.",76977.85,4319.99,117261.61,0,1,3,4,1,1,2,3,2
"The estate is worth $83,517.29. There are debts of $9,966.12. Funeral expenses amount to $3,487.08. A bequest of $8,322.35 was specified. The survivors include a wife, 3 sons, 4 daughters, a mother, 3 brothers, 2 sisters, 1 grandchildren.",9966.12,3487.08,8322.35,1,0,3,4,0,1,3,2,1
"The estate is worth $222,974.80. There are debts of $36,299.99. Funeral expenses amount to $1,372.16. A bequest of $22,222.66 was specified. The survivors include a husband, 1 sons, 2 daughters, 3 brothers, 1 sisters, 2 grandchildren.",36299.99,1372.16,22222.66,0,1,1,2,0,0,3,1,2
"The estate is worth $775,318.12. There are debts of $102,136.36. Funeral expenses amount to $1,843.81. A bequest of $156,167.47 was specified. The survivors include a wife, 4 daughters, a father, 3 brothers, 2 sisters.",102136.36,1843.81,156167.47,1,0,0,4,1,0,3,2,0
"The estate is worth $534,016.57. There are debts of $15,727.80. Funeral expenses amount to $6,202.57. A bequest of $139,306.41 was specified. The survivors include a husband, 4 sons, 2 daughters, a father, a mother, 1 brothers, 3 sisters, 2 grandchildren.",15727.8,6202.57,139306.41,0,1,4,2,1,1,1,3,2
"The estate is worth $221,864.18. There are debts of $52,613.84. Funeral expenses amount to $6,458.76. A bequest of $46,856.95 was specified. The survivors include a husband, 5 sons, 5 daughters, a father, 2 brothers, 2 sisters.",52613.84,6458.76,46856.95,0,1,5,5,1,0,2,2,0
"The estate is worth $187,012.47. There are debts of $17,313.32. Funeral expenses amount to $6,642.10. A bequest of $17,111.92 was specified. The survivors include a wife, 3 sons, 1 daughters, a father, 1 brothers, 3 sisters, 2 grandchildren.",17313.32,6642.1,17111.92,1,0,3,1,1,0,1,3,2
"The estate is worth $523,460.95. There are debts of $10,882.56. Funeral expenses amount to $7,816.15. A bequest of $83,911.74 was specified. The survivors include a husband, 4 sons, 5 daughters, a father, 1 brothers, 1 sisters, 2 grandchildren.",10882.56,7816.15,83911.74,0,1,4,5,1,0,1,1,2
"The estate is worth $868,495.47. There are debts of $130,121.34. Funeral expenses amount to $1,653.61. A bequest of $152,827.08 was specified. The survivors include a wife, a husband, 1 sons, a mother, 1 sisters, 1 grandchildren.",130121.34,1653.61,152827.08,1,1,1,0,0,1,0,1,1
"The estate is worth $471,789.65. There are debts of $53,377.56. Funeral expenses amount to $6,902.87. A bequest of $113,109.78 was specified. The survivors include a mother.",53377.56,6902.87,113109.78,0,0,0,0,0,1,0,0,0
"The estate is worth $264,965.15. There are debts of $64,888.04. Funeral expenses amount to $4,974.75. A bequest of $47,462.48 was specified. The survivors include a wife, 4 sons, 1 daughters, 2 brothers, 1 sisters, 1 grandchildren.",64888.04,4974.75,47462.48,1,0,4,1,0,0,2,1,1
"The estate is worth $844,966.11. There are debts of $181,175.66. Funeral expenses amount to $9,139.90. A bequest of $95,245.16 was specified. The survivors include a wife, a husband, 2 sons, 2 daughters, a father, 3 brothers.",181175.66,9139.9,95245.16,1,1,2,2,1,0,3,0,0
"The estate is worth $488,886.00. There are debts of $48,679.88. Funeral expenses amount to $2,319.62. A bequest of $35,404.81 was specified. The survivors include 5 sons, 2 daughters, a father, 2 brothers, 3 sisters, 2 grandchildren.",48679.88,2319.62,35404.81,0,0,5,2,1,0,2,3,2
"The estate is worth $399,921.85. There are debts of $56,115.69. Funeral expenses amount to $9,710.86. A bequest of $50,010.40 was specified. The survivors include 4 sons, 2 daughters, a father, 3 brothers, 1 grandchildren.",56115.69,9710.86,50010.4,0,0,4,2,1,0,3,0,1
"The estate is worth $684,929.59. There are debts of $10,916.52. Funeral expenses amount to $1,253.46. A bequest of $215,735.80 was specified. The survivors include 1 sons, a father, 2 brothers, 2 sisters, 1 grandchildren.",10916.52,1253.46,215735.8,0,0,1,0,1,0,2,2,1
"The estate is worth $248,700.84. There are debts of $23,585.24. Funeral expenses amount to $1,211.07. A bequest of $74,591.16 was specified. The survivors include a wife, 4 sons, a father, a mother, 2 sisters.",23585.24,1211.07,74591.16,1,0,4,0,1,1,0,2,0
"The estate is worth $558,346.91. There are debts of $55,968.94. Funeral expenses amount to $5,725.17. A bequest of $32,679.55 was specified. The survivors include 3 sons, 2 daughters, a father, a mother, 3 sisters, 1 grandchildren.",55968.94,5725.17,32679.55,0,0,3,2,1,1,0,3,1
"The estate is worth $836,849.35. There are debts of $65,454.28. Funeral expenses amount to $1,901.00. A bequest of $242,036.92 was specified. The survivors include a husband, 2 sons, a father, a mother, 1 brothers.",65454.28,1901.0,242036.92,0,1,2,0,1,1,1,0,0
"The estate is worth $902,180.58. There are debts of $2,523.37. Funeral expenses amount to $1,403.78. A bequest of $211,896.39 was specified. The survivors include a wife, a husband, 2 sons, 4 daughters, a father, 1 brothers, 3 sisters, 2 grandchildren.",2523.37,1403.78,211896.39,1,1,2,4,1,0,1,3,2
"The estate is worth $893,614.73. There are debts of $43,200.03. Funeral expenses amount to $5,341.51. A bequest of $71,187.76 was specified. The survivors include a wife, a husband, 4 daughters, a father, 3 brothers.",43200.03,5341.51,71187.76,1,1,0,4,1,0,3,0,0
"The estate is worth $304,484.87. There are debts of $71,971.23. Funeral expenses amount to $4,027.91. A bequest of $22,019.43 was specified. The survivors include a husband, 2 sons, 5 daughters, a father, 2 brothers, 1 sisters.",71971.23,4027.91,22019.43,0,1,2,5,1,0,2,1,0
"The estate is worth $77,569.36. There are debts of $10,184.18. Funeral expenses amount to $6,338.40. A bequest of $20,339.42 was specified. The survivors include a wife, a husband, 3 daughters, a father, 3 brothers, 2 sisters.",10184.18,6338.4,20339.42,1,1,0,3,1,0,3,2,0
"The estate is worth $425,759.53. There are debts of $102,734.71. Funeral expenses amount to $5,663.87. A bequest of $86,581.71 was specified. The survivors include a wife, 2 sons, 4 daughters, a father, 2 brothers, 1 grandchildren.",102734.71,5663.87,86581.71,1,0,2,4,1,0,2,0,1
"The estate is worth $226,203.54. There are debts of $49,436.71. Funeral expenses amount to $3,226.15. A bequest of $23,704.01 was specified. The survivors include a wife, a husband, 5 sons, 4 daughters, a father, 3 brothers, 1 grandchildren.",49436.71,3226.15,23704.01,1,1,5,4,1,0,3,0,1
"The estate is worth $726,367.40. There are debts of $56,443.65. Funeral expenses amount to $3,510.63. A bequest of $24,655.84 was specified. The survivors include a wife, 2 sons, 2 daughters, a mother, 1 brothers, 1 sisters, 2 grandchildren.",56443.65,3510.63,24655.84,1,0,2,2,0,1,1,1,2
"The estate is worth $891,751.72. There are debts of $102,123.95. Funeral expenses amount to $1,164.53. A bequest of $212,312.29 was specified. The survivors include 2 sons, a father, a mother, 2 brothers, 1 grandchildren.",102123.95,1164.53,212312.29,0,0,2,0,1,1,2,0,1
"The estate is worth $751,048.66. There are debts of $124,830.33. Funeral expenses amount to $2,980.83. A bequest of $156,229.78 was specified. The survivors include 1 daughters, a father, a mother, 1 brothers, 3 sisters, 1 grandchildren.",124830.33,2980.83,156229.78,0,0,0,1,1,1,1,3,1
"The estate is worth $958,242.91. There are debts of $31,036.12. Funeral expenses amount to $5,010.71. A bequest of $254,725.64 was specified. The survivors include 5 sons, 2 daughters, a father, a mother, 3 brothers, 1 sisters, 1 grandchildren.",31036.12,5010.71,254725.64,0,0,5,2,1,1,3,1,1
"The estate is worth $927,904.27. There are debts of $9,911.59. Funeral expenses amount to $5,268.88. A bequest of $277,705.69 was specified. The survivors include a wife, a husband, 2 sons, 4 daughters, a father, a mother, 3 brothers, 2 sisters, 1 grandchildren.",9911.59,5268.88,277705.69,1,1,2,4,1,1,3,2,1
"The estate is worth $301,728.36. There are debts of $65,768.54. Funeral expenses amount to $1,474.17. A bequest of $10,502.13 was specified. The survivors include a wife, a husband, 3 sons, 4 daughters, a father, a mother, 2 brothers, 1 sisters, 1 grandchildren.",65768.54,1474.17,10502.13,1,1,3,4,1,1,2,1,1
"The estate is worth $372,405.71. There are debts of $57,728.09. Funeral expenses amount to $8,460.47. A bequest of $88,793.07 was specified. The survivors include 1 sons, 2 daughters, 1 brothers, 2 grandchildren.",57728.09,8460.47,88793.07,0,0,1,2,0,0,1,0,2
"The estate is worth $461,756.21. There are debts of $70,572.62. Funeral expenses amount to $5,153.47. A bequest of $12,487.70 was specified. The survivors include a husband, 1 sons, 2 daughters, a mother, 1 brothers, 2 sisters, 2 grandchildren.",70572.62,5153.47,12487.7,0,1,1,2,0,1,1,2,2
"The estate is worth $731,703.24. There are debts of $155,656.67. Funeral expenses amount to $6,272.34. A bequest of $68,904.88 was specified. The survivors include a wife, a husband, 1 sons, 2 daughters, 2 brothers, 1 sisters, 2 grandchildren.",155656.67,6272.34,68904.88,1,1,1,2,0,0,2,1,2
